A,:85
B,:459
C,:321
D,:2005
E,:633
F,:291
J,:66
L,:128
K,:128
M,:128
N,:11
I,:4
A,I,K,N,:2
A,I,M,N,:2
B,I,J,L,:2
B,I,J,K,:2
B,I,J,M,:2
B,I,J,N,:2
B,I,L,M,:2
B,I,L,N,:2
B,I,K,L,:2
B,I,K,M,:2
B,I,K,N,:2
B,I,M,N,:2
C,I,J,L,:2
C,I,J,K,:2
C,I,J,M,:2
C,I,J,N,:2
C,I,L,M,:2
C,I,L,N,:2
C,I,K,L,:2
C,I,K,M,:2
C,I,K,N,:2
C,I,M,N,:2
D,I,J,L,:2
D,I,J,K,:2
D,I,J,M,:2
D,I,J,N,:2
D,I,L,M,:2
D,I,L,N,:2
D,I,K,L,:2
D,I,K,M,:2
D,I,K,N,:2
D,I,M,N,:2
E,I,J,L,:2
E,I,J,K,:2
E,I,J,M,:2
E,I,J,N,:2
E,I,L,M,:2
E,I,L,N,:2
E,I,K,L,:2
E,I,K,M,:2
E,I,K,N,:2
E,I,M,N,:2
F,I,J,L,:2
F,I,J,K,:2
F,I,J,M,:2
F,I,J,N,:2
F,I,L,M,:2
F,I,L,N,:2
F,I,K,L,:2
F,I,K,M,:2
F,I,K,N,:2
F,I,M,N,:2
I,J,L,M,:2
I,J,L,N,:2
I,J,K,L,:2
I,J,K,M,:2
I,J,K,N,:2
I,J,M,N,:2
I,L,M,N,:2
I,K,L,M,:2
I,K,L,N,:2
I,K,M,N,:2
A,B,C,D,E,:4
A,B,C,D,F,:4
A,B,C,D,J,:4
A,B,C,D,L,:4
A,B,C,D,K,:4
A,B,C,D,M,:4
A,B,C,D,N,:3
A,B,C,E,F,:4
A,B,C,E,J,:4
A,B,C,E,L,:4
A,B,C,E,K,:4
A,B,C,E,M,:4
A,B,C,E,N,:3
A,B,C,F,J,:4
A,B,C,F,L,:4
A,B,C,F,K,:4
A,B,C,F,M,:4
A,B,C,F,N,:3
A,B,C,J,L,:4
A,B,C,J,K,:4
A,B,C,J,M,:4
A,B,C,J,N,:3
A,B,C,L,M,:4
A,B,C,L,N,:3
A,B,C,K,L,:4
A,B,C,K,M,:4
A,B,C,K,N,:3
A,B,C,M,N,:3
A,B,D,E,F,:4
A,B,D,E,J,:4
A,B,D,E,L,:4
A,B,D,E,K,:4
A,B,D,E,M,:4
A,B,D,E,N,:3
A,B,D,F,J,:4
A,B,D,F,L,:4
A,B,D,F,K,:4
A,B,D,F,M,:4
A,B,D,F,N,:3
A,B,D,J,L,:4
A,B,D,J,K,:4
A,B,D,J,M,:4
A,B,D,J,N,:3
A,B,D,L,M,:4
A,B,D,L,N,:3
A,B,D,K,L,:4
A,B,D,K,M,:4
A,B,D,K,N,:3
A,B,D,M,N,:3
A,B,E,F,J,:4
A,B,E,F,L,:4
